等级,公司名,partnerId,商家数(区间),所在省,所在市,是否有服装客户,行业关键词命中,品牌关键词命中,总命中数,资质标签,详情页链接,简介(前200字)
银牌,嘉兴市濮礼传媒有限公司,880066655697703,大于300家,浙江省,嘉兴市,是,服饰/毛纺,,2,商城服务/品牌全案服务/内容服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=880066655697703,"为了管理和规范市场，平台与政府深度合作，在政府的指导和扶持下建设和运营濮院电商直播基地。基地运营方严格执行管理细则，三方合力，建设安全且健康发展的毛纺服饰产品直播业务。通过完善的商家和商品等管理机制，建立了毛纺服饰产品直播业务的安全壁垒，充分保障了消费者权益，促进毛纺服饰产品行业的健康发展，濮院电商直播基地由嘉兴市濮礼传媒有限公司落地运营。
自2020年12月25日基地授牌落地运营，2021年至今"
银牌,江门市虔越教育科技有限公司,166773320595255,大于300家,广东省,江门市,是,服装,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=166773320595255,"公司主营业务：教育培训
服务领域：抖音电商
主营行业：抖店商品卡多类目
公司基础介绍：公司从事电商行业17年，拥有完整的运营团队与多类目供应链合作，拥有众多品牌旗舰、专营、专卖店；涉及家具、家居日用、食品零食、服装等类目；通过品牌内容化、短视频推广、抖音直播带货，为客户实现新媒体传播与数字营销。月销售额千万+，为合作伙伴覆盖数亿次曝光，帮助企业快速品牌传播，获取精准客户粉丝画像，带来更多订单和效益"
银牌,飞鱼（广州）互动传媒有限公司,7199626791047151876,大于200家,广东省,广州市,是,服饰,,1,内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7199626791047151876,飞鱼互动成立于 2016 年，是 “AI + 数字营销” 高新技术企业，抖音电商全链路服务商及全案合作伙伴。公司融合 AI 技术与商业场景，构建 “技术引擎 + 生态协同 + 商业赋能” 三维增长体系，以 “产品 + 人群 + 内容 + 投放” 为核心，依托自研 AI 智能投放、AIGC 内容智造与 AI 决策中台，推动营销从 “经验驱动” 升级为 “数据驱动”。我们提供内容创作、达人营销等一站式
银牌,厦门商源信息科技有限公司,7404851933439181083,大于200家,福建省,厦门市,是,,海澜之家,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7404851933439181083,"商源是一家集广告媒体运营及电商营销策略于一体的服务商。致力于抖音等平台为广大客户提供营销策略、广告投放等多维度运营服务。
      目前持续探索IP孵化、数字营销、品牌服务三大业务板块，意图成为能为品牌提供全领域定制化营销解决方案的主流代理公司，并源源不断探索新领域、实践新方向、寻找新商机。"
银牌,广州飞鱼广告传媒有限公司,7393177634814918939,大于100家,广东省,广州市,是,服装,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7393177634814918939,广州飞鱼广告传媒有限公司简称“飞鱼传媒”是成立于2019年、是一家专注电商；自营，自播，创意视频制作的互联网公司，有专业的运营团队为服装，美妆，食品，家具等等客户进行代运营服务，能助力商家经营达到想要的合作效果，合作共赢。
银牌,广州粤理科技有限公司,7402666981675122981,大于100家,广东省,广州市,是,服饰,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7402666981675122981,"广州粤理科技有限公司服务客户300+，以字节跳动电商平台为发力点，现已成为服饰、图书、3C行业为主的专业电商运营服务商。
现有团队28人，有完整的广告运营、直播运营、达人运营、店铺运营等多岗位完整架构。核心骨干都来自于巨量引擎及各大媒体的头部代理商，均有3年以上广告相关工作经验。"
银牌,南通喜凡文化传媒有限公司,7505028316471050546,大于100家,江苏省,南通市,是,家纺,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7505028316471050546,本公司致力于家纺产业带直播及抖店商家。我们的服务是个性化定制服务商家，针对小白、中腰部、头部商家自身情况介入不同的代运营，帮商家做千川代投使其gmv增量、做视频增量（拍摄剪辑）、抖店基建和账号基建与代教、做商品卡代运营相关服务，使其账号的短视频带货和直播带货的利润长期增长。代投端：千川代投实时跟播复盘同步优化，相互配合，稳健的同时冲击更高的gmv。直播端：优化通过话术（互动、促单、逼单）协助选品、
银牌,杭州鲸猫文化传播有限公司,3255026511778606,小于10家,浙江省,杭州市,是,服饰/潮牌,,2,全店服务/品牌全案服务/品牌直播服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=3255026511778606,鲸猫文化致力于为潮流类产品品牌提供直播电商运营服务。包括为潮牌服饰、潮玩、科技数码、体育用品、食品饮料等在抖音提供内容电商、直播电商、潮品空间直播新零售、品牌数字营销等一体化服务等。鲸猫团队目前已完成超过1000场潮牌直播运营服务，累积潮品销售额超过3亿元，积累了丰富的抖音潮牌直播带货运营经验及强大的潮品消费人群数据。
银牌,上海一新电子商务有限公司,7045170677619360036,小于10家,上海市,市辖区,是,服饰/女装,,2,全店服务/品牌全案服务,https://fuwu.jinritemai.com/providerHomepage?id=7045170677619360036,"上海一新电子商务有限公司于2020年12月成立，公司位于上海市松江区九亭，业务覆盖了传统电商运包括天猫等淘系代运营和抖音代运营，公司在江苏宿迁有客服子公司，浙江杭州有仓储物流中心。
    抖音代运营业务发展迅速，合作业务主要覆盖服饰鞋包，以品质新锐女装品牌为主，合作品牌insisfemme,randompiece,keigan,commonscents,73hours,cachecache，公司"
银牌,杭州尽物科技有限公司,7005074961119363335,小于10家,浙江省,杭州市,是,,内外,1,全店服务/品牌全案服务/品牌直播服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7005074961119363335,杭州尽物科技有限公司是抖音电商（DP）的首批官方邀请认证的机构服务商，是 字节跳动一级代理商，巨量千川指定服务商，公司拥有超500名+专业运营人员及 10000+平米的品牌直播基地，已为多家国内外知名品牌提供全案代运营服务，具 备丰富的品牌全案代运营执行能力。
银牌,河南联卡信息技术有限公司,2520518747231032,小于30家,河南省,郑州市,是,服饰/箱包,,2,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=2520518747231032,"河南联卡信息技术有限公司：成⽴于2018年，是⼀家专注于电商⾏业，致⼒于互联⽹整合营销，有专业运营服务团队以及电商⾏业资源整合能⼒的综合性电商公司
• 业务涵盖：品牌营销、达⼈孵化、⼴告投放、直播代运营、电商供应链等，致⼒于帮助传统企业、品牌⽅、达⼈、电商客⼾等提供⼀站式的短视频与直播电商⾏业整体解决⽅案"
银牌,北京美言美语广告有限公司,7291900527418573065,小于70家,北京市,北京市,是,,361,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7291900527418573065,"北京美言美语科技有限公司，注册成立于2023年3月份，是北京础瑜广告有限公司的子公司，企业总部位于:北京市丰台区总部基地一区1号楼ABP大厦A座16层
公司专注抖音广告整合营销，拥有抖音信息流千川二星代理资格。在千川方面有丰富经验。"
银牌,广州千尚信息技术有限公司,7293895511359078708,小于100家,广东省,广州市,是,珠宝,,1,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7293895511359078708,"广州千尚信息技术有限公司是一家集内容营销，广告效果优化、品牌全案营销于一体的全方位网络营销服务公司，是巨量引擎一级代理商、巨量千川、巨量云图、巨量星图服务商以及快手服务商、有米云经销商、EDX核心代理商。目前在郑州，广州均设有办公点。
       广州千尚信息技术有限公司以抖音电商，快手电商业务为依托，拥有专业的直播带货团队，平台电商运营团队及培训团队，选品团队，致力于为客户提供一站式电商营销服"
钻级,广州毅播科技有限公司,3360556997151678,大于4000家,广东省,广州市,否,,,0,内容服务/全店服务/商城服务/店铺代运营服务/达人外包客服/电商ERP/订单处理/客服外包,https://fuwu.jinritemai.com/providerHomepage?id=3360556997151678,公司致力于扶持/孵化商家更好直播，提供智能直播工具、实战辅助、智能云仓/云客服等服务。
钻级,旺兔柏（广州）文化传媒有限公司,4117028724279559,小于40家,广东省,广州市,否,,,0,品牌全案服务/商城服务/视频拍摄/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=4117028724279559,旺兔柏（广州）文化传媒有限公司于2020年成立，为青木科技的全资子公司，以科技和数据为驱动提供一站式零售解决方案。核心成员来自主流电商平台、4A广告公司、科技公司以及知名品牌，公司用敏锐的商业洞察和丰富的经验在电商运营、数字营销、全链路消费者运营、品牌孵化、仓储物流、官网搭建、全渠道融合、消费者运营中台搭建等相关业务上助力品牌思考和践行数字化增长策略。
钻级,上海容么么数字科技有限公司,1319894981549357,小于50家,上海市,市辖区,否,,,0,品牌全案服务/直播管理/商城服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=1319894981549357,"“容么么”以内容市场为基石为品牌提供：账号运营，抖店运营，短视频创作，品牌咨询，IT服务等。 以全媒体内容生态的团队为班底，以创意为核心，以对零售的理解为基因为品牌提供内容直播服务。
通过运用大数据和云计算技术，基于品牌线上抖音运营场景，通过采用精细化的营销解决方案进行自动化精准营销及付费推广，降低人力成本，提高工作效率，助力品牌快速实现营销的商业目标。实现在智能投放、精准营销、直播间管理、数字化"
金牌,蓝微（广州）数字技术有限公司,7039963125541814565,大于2000家,广东省,广州市,否,,,0,内容服务/全店服务/商城服务/视频拍摄,https://fuwu.jinritemai.com/providerHomepage?id=7039963125541814565,"蓝微（广州）数字技术有限公司是抖音电商排名前五的金牌服务商，2015年成立，总部位于广州，在深圳、杭州、湖南设有分公司，同时也是抖音千川二星服务商
蓝微多年来一直深耕产业带，抖音千川广告年消耗10亿+，产业带服务商家年gmv达到百亿级。蓝微定位于全域全案品牌营销服务商，具备优秀全域服务能力。
蓝微核心优势：Koc达人短视频推广+千川投流代运营、千川充值走量，短视频投流内容一站式输出、成熟丰富的供应"
金牌,深圳市响当当信息技术有限公司,7340892866375467274,大于1000家,广东省,深圳市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7340892866375467274,"深圳市响当当公司，一家基于互联网新媒体的数字广告公司。
公司2016年初成立，先后在深圳，广州，江门成立团队，目前规模200人+，以技术和专业为广告主提供优质服务,持续为广告主提供全面的媒体策略、视频创意、广告投放及优化、数据分析、直播玩法、电商服务等多维服务。在多个行业的创新有着广为人知的成功历史。
深响，依托于媒体平台，已成为业界知名的数字广告服务商。"
金牌,杭州星河方舟信息科技有限公司,7289048386093859130,大于800家,浙江省,杭州市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7289048386093859130,"杭州星河方舟是抖音电商产业带金牌服务商，也是优秀的品牌服务商。集团公司业务涉及 “巨量综合服务”“巨量千川代理”“本地生活服务’“达人孵化”国内抖音代 运营”，“海外TIKTOK跨境电商服务””明星达人切片”等，拥有技术开发团 队、直播运营团队、新媒体平台运营团队、策划营销团队,视频策划制作团队、活 动执行团队、设计服务团队,为商家提供直播代运营、商品卡代运营、短视频和培训等服务"
金牌,广州杜鹃传媒科技有限公司,7021369905329225991,小于20家,广东省,广州市,否,,,0,千川投放/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7021369905329225991,"广州杜鹃隶属于茉莉集团，创办于2019年，总部位于广州，在上海设有分公司，公司规模超过500人。秉持着以数据技术驱动理念，为品牌提供电商内容整合营销服务，包括全域社交媒体整合营销、品牌/效果营销、直播电商服务，是数据技术驱动的品牌商业伙伴。
使命&愿景:赋能全球品牌，传递美好生活价值观：生命力、快乐力、利他、成长。"
银牌,杭州爱搜全域数据科技有限公司,1900415152561005,大于2000家,浙江省,杭州市,否,,,0,品牌全案服务/品牌直播服务/视频拍摄/直播代播/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=1900415152561005,北京爱盈利旗下全资子公司，以数据分析、流量推广等服务为主营业务。 目前公司主打产品为抖查查数据平台，是以抖音直播电商带货、短视频、千川投放、星图业务的数据分析平台。 拥有主播培养梯队体系、千万GMV直播间操盘经验以及类目头部账号运营实操经验的团队。 帮助品牌和供应链解决电商直播中三大问题的全栈解决方案的官方合作优质服务商。
银牌,山东聚合传媒有限公司,7346121103330443570,大于2000家,山东省,菏泽市,否,,,0,视频拍摄/直播代播/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7346121103330443570,公司成立于2014年，总部位于山东省济南市，并分别在菏泽市/临沂市/武汉市/杭州市设有分公司，现有办公面积7000余平方，在职员工610人。主营抖音电商广告业务以及短视频内容制作与店铺代运营业务。是抖音电商全国服务商，2021年公司总营业收入在25亿以上，山东聚商深耕直播电商广告行业，目前已累积服务数千家电商主；与此同时，为了更好的服务客户，我司针对直播电商业务重点布局，已在菏泽、临沂、济南搭建直
银牌,武汉火蝠电子商务有限公司,2859152054950302,大于1000家,湖北省,武汉市,否,,,0,店铺代运营服务/全店服务/品牌全案服务,https://fuwu.jinritemai.com/providerHomepage?id=2859152054950302,"火蝠电商是一家国内优秀数据与技术电商服务公司。始终坚信每个品牌的商业难题都能找到答案，专注为国内品牌提供以电商为核心的一站式商业解决方案，面向未来，致力打造全面融合的生态系统，形成电商运营/数字营销/品牌升级/it解决方案，资源赋能五个生态圈。目前合作的全球优质品牌超60个，包括绿源，马应龙，金龙鱼，金味，科创者等在内的世界知名企业展开深入合作。
   精准链接，精细运营的数字营销能力，链接品牌，"
银牌,红犀引擎（重庆）科技有限公司,7240146319413690658,大于900家,重庆市,重庆市,否,,,0,,https://fuwu.jinritemai.com/providerHomepage?id=7240146319413690658,
银牌,天丰（南通）新媒体科技有限公司,7001315156106035469,大于900家,江苏省,南通市,否,,,0,品牌直播服务/品牌全案服务/内容服务/全店服务/商城服务/视频拍摄/直播代播,https://fuwu.jinritemai.com/providerHomepage?id=7001315156106035469,"天丰（南通）新媒体科技有限公司，直播、商品卡代运营服务商，提供专业的直播陪跑、培训提升服务。
公司成立于2021年9月，合作过抖音直播商家200+。为客户提供直播间设计、设备调试、产品定位、主播培训、团队提升、推广投流业务。与客户深度合作，达成营业额稳步增长的目标。"
银牌,爱创广告(深圳)有限公司,7021363116424364319,大于400家,广东省,深圳市,否,,,0,千川投放/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7021363116424364319,爱创广告（深圳）有限公司，移动互联营销与服务提供商。总公司位于深圳中央商务区车公庙天安科技创业园，秉承让营销更省心的经营使命，一直致力于为广告主提供专业的“品牌策划、媒体投放、效果评估”整合营销服务。
银牌,大数法则（杭州）网络科技有限公司,7264757636028219707,大于400家,浙江省,杭州市,否,,,0,内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7264757636028219707,公司一直以“快速孵化好内容，深耕流量后市场”为使命，为电商平台各级别主播提供孵化，自播运营、流量投放、小店客服、供应链搭建等系统性服务，帮助主播快速成为行业领域优质带货达人。
银牌,河北量点科技有限公司,110593223226,大于200家,河北省,石家庄市,否,,,0,跨境电商运营/内容服务/全店服务/商城服务/视频拍摄,https://fuwu.jinritemai.com/providerHomepage?id=110593223226,河北量点科技有限公司是河北聚冀网络科技有限公司全资孵化的子公司，河北聚冀网络科技有限公司的全部资源皆可无条件向河北量点科技有限公司开放对接。注册资本300万，2023-05-08成立，现有员工200余人，年度成交总额6E。母公司聚冀成立于2015年，2016年正式与巨量引擎达成合作，成为巨量引擎河北区域代理合作伙伴。
银牌,广州正家文化传播有限公司,7471092634749141302,大于200家,广东省,广州市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7471092634749141302,"广州正家文化成立2018年，坐落在美丽的“羊城”—广州市番禺区祈福集团中心；
公司规模100+人，是一家专注于互联网整合营销服务的创新型企业，致力于高时效的营销优化解决方案，集素材文案脚本、短视频拍摄剪辑、达人分发、带货切片授权和投流代运营为一体的服务型公司。"
银牌,石家庄爱逛电子商务有限公司,7417414711026729256,大于200家,河北省,石家庄市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7417414711026729256,"成立于2016年
合作品牌300+
主营品牌代拍，代投，代播等全案运营
速食板块有爆款案例及陪跑能力
店播案例：程校长旗舰店 三太子旗舰店 食城记旗舰店 吃欢天旗舰店 小香厨旗舰店  
8年业务规模增长90倍
全国5家分公司  600+人团队"
银牌,江西仟得文化传播有限公司,1918009172836013,大于100家,江西省,南昌市,否,,,0,内容服务/全店服务/品牌直播服务,https://fuwu.jinritemai.com/providerHomepage?id=1918009172836013,"江西仟得文化传播有限公司，是一家以国内领先数字营销服务商作为奋斗目标的现代化企业。为字节跳动“巨量引擎”江西区域独家合作伙伴（“今日头条”“抖音”“西瓜”“火山”）、在线办公软件“飞书”服务商、致力为创新创业者提供认知升级的“混沌大学”南昌分社，为企业提供包含数字营销、在线办公、在线教育等综合解决方案。
   在发展的路上，仟得也在不断地提升自身实力，吸收社会各界精英人才，同时布局江西，先后成立了"
银牌,浙江金报文化传媒有限公司,7018077566800118023,大于100家,浙江省,金华市,否,,,0,内容服务/全店服务/视频拍摄,https://fuwu.jinritemai.com/providerHomepage?id=7018077566800118023,浙江金报文化传媒有限公司是金华日报报业传媒集团全资子公司，是抖音电商产业带铜牌服务商及巨量千川认证服务商，给商家提供抖音店铺代运营服务、代播、投流等服务，为商家解决店铺运营、直播相关等问题。
银牌,武汉众禾科技有限公司,7098952163447161119,大于100家,湖北省,武汉市,否,,,0,视频拍摄/直播代播/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7098952163447161119,众禾直播，湖北省政府重点扶持的科技创新企业 ，武汉3551重点人才企业。曾荣获巨量引擎年度服务突破合作伙伴、抖音电商自有品牌百应 机构全国第四名 、 多次霸榜食品饮料酒水行业带货第一名 。公司管理团队拥有15年以上的行业经验 ，分别来自阿里、字节、 腾讯， 曾操盘过多款体量过亿的产品运营 ，先后获得业内TOP平台公司的多轮融资。服务品牌有：卧龙食品、良品铺子、蒙牛、宝洁、华帝、舍得酒、rio锐澳、
银牌,广州大麦互动电子商务科技有限公司,7221470461850190138,大于100家,广东省,广州市,否,,,0,内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7221470461850190138,多卖（广州）电子商务有限公司2021年成立，是首批全域运营服务商，专注抖音商城（货架电商）运营，诞生于抖音电商平台发力抖音商城业务的首批团队，已服务广州30多家月销5000万的抖音直播间商家
银牌,天石在线（北京）文化传媒有限公司,1636527333976519,大于100家,北京市,市辖区,否,,,0,品牌全案服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=1636527333976519,"天石在线(北京)文化传媒有限公司 配备专属品牌电商营销团队和直播服务团队，在各行业类目均有丰富的优化经验，为品牌客户提供专属项目管理、商务、策划、优化、主播、直播策划运营等专业一体化电商营销服务。
公司创始人、核心管理层均来自电商贸易公司及互联网广告公司高管及业务负责人，拥有多年的电商实践经验，以及丰富的广告投放经验，近年来，天石在线已成功服务于上千家电商企业！"
银牌,河南众鼎星选网络科技有限公司,7015450559784386846,大于100家,河南省,南阳市,否,,,0,视频拍摄/全店服务/内容服务/直播管理/商家商品推广/团长商品推广/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=7015450559784386846,"众鼎传媒简称：众鼎。成立于2019年，注册资金100 多万，抖音供应链，达人推广公司，致力主播开发和第三方推广服务，分析能力和媒体矩阵，为抖音平台做一个第三方推广。
项目从2021年起步经历了1年的摸索创业期，在2022年4月找到了项目核心竞争力的体制架构，从而快速发展。2021年创造GMV已经突破2000万元。2022年4月众鼎团队创造GMV首次突破500万元。从22年4月至今已经突破性超过去年"
银牌,湖北南梦科技有限公司,7307451289427624242,大于100家,湖北省,武汉市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7307451289427624242,湖北南梦科技有限公司 成立于2016年，于2023年初获得巨量引擎渠道销售管理中心授予的“综合代理商”与“巨量千川服务商”两项资质，具备专业完善的运营、商务媒介及客服团队。 公司依托于丰富的产业链、供应链资源，利用前沿数字工具和强大的综合运营能力为商户与广告主企业赋能，提供覆盖品牌、店铺、账户、直播等全维度运营的一站式服务。 公司主营抖音、快手电商及各类社媒广告推广业务，并为提供品牌推广与市场营销
银牌,漳州抖易推文化传媒有限公司,387493315740126,大于100家,福建省,漳州市,否,,,0,全店服务/品牌全案服务,https://fuwu.jinritemai.com/providerHomepage?id=387493315740126,"☆为抖店商家提供一键式店铺管理服务
☆店铺运营指导/选品上货/商品优化/供应链对接
☆海量达人资源对接"
银牌,厦门龙商网络科技有限公司,7371282639719907599,大于100家,福建省,厦门市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7371282639719907599,"龙商集团于2006年7月在厦门成立，发展至今有300多人，为行业最具影响力的互联网营销企业之一。目前在厦门、泉州、福州、莆田等地均有分公司，已拥有龙商科技、龙商技术、龙赢投资、云网互动等多家子公司。 
这18年来，已服务客户的数量约10万家，运营服务了非常多的电商商家。如今龙商已成为抖音、快手、Tik Tok、视频号、小红书、B站、微博、爱奇艺、知乎、支付宝等主流媒体的服务商。
业务范围包含互联网"
银牌,北京明亮的星文化传媒有限公司,2058743433660158,小于10家,北京市,市辖区,否,,,0,直播管理/商城服务/品牌全案服务,https://fuwu.jinritemai.com/providerHomepage?id=2058743433660158,北京明亮的星文化传媒有限公司，成立于2016年4月，旗下拥有「星榜」内容营销公司、「星推严选」直播电商公司、「星榜互娱」MCN公司、「星量数据」大数据平台；是一家为客户提供短视频域内容营销，和电商服务整合解决⽅案的营销科技公司；始终致力于为客户持续创造与实现⽤户价值的全⾯赋能;
银牌,广州未来网络信息有限公司,7337793959231684904,小于20家,广东省,广州市,否,,,0,全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7337793959231684904,本公司专注新媒体广告代运营增值服务，公司是巨量千川代理商+巨量云图代理商+巨量星图代理商+巨量纵横代理商四重身份，现为千川消费品赛道二星服务商；主营业务为直播电商及引流电商客户提供精准新媒体代运营全店整合服务，我司擅长各类店播、达播帐号的投放，以及品牌帐号的全案投放经验。
银牌,苏州今日视界文化传媒有限公司,473788058446,小于30家,江苏省,苏州市,否,,,0,品牌直播服务/内容服务/全店服务/商城服务,https://fuwu.jinritemai.com/providerHomepage?id=473788058446,苏州今日视界文化传媒有限公司成立于2015年，今日视界文化传媒专注于抖音直播电商：1.全案运营服务 2.店铺代运营服务3.店铺直播服务4.流量服务 5.培训服务6.抖音账号代运营7.短视频服务
银牌,中协策力（北京）文化传媒有限责任公司,7156750443794727182,小于30家,北京市,北京市,否,,,0,品牌全案服务/全店服务,https://fuwu.jinritemai.com/providerHomepage?id=7156750443794727182,2020年10月开始直播业务，于2021年在北京、苏州两地设立分公司;核心团队均来自字节、网易等企业，有着专业的电商运营经验及行业主播、品牌资源。主营业务围绕全域兴趣电商平台为载体，为品牌客户提供精准专业的商品策略、直播策略、运营策略、推广投放及达人分发服务。帮助品牌商家 快速抢占兴趣电商生态至高点，完成从图文电商向全域兴趣电商转化的全链路生态服务商。
